,SMILES,Code,Class,Structure,Morgan,tanimoto_morgan_tacrine
0,Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339620>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1dde70>,1.0
1,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,CHEMBL502,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1dde00>,0.15384615384615385
2,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,CHEMBL659,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339700>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1ddd90>,0.05555555555555555
3,C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,CHEMBL1255901,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339770>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1ddd20>,0.078125
4,COc1cc2c(cc1OC)C(=O)C(C1CCN(Cc3ccccc3)CC1)C2.Cl,CHEMBL538296,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c3397e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1ddcb0>,0.13846153846153847
5,COc1cc2c(cc1OC)C(=O)C(CCC1CCN(Cc3ccccc3)CC1)C2.Cl,CHEMBL545317,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1ddc40>,0.1323529411764706
6,COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2.Cl,CHEMBL2093912,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c3398c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1ddbd0>,0.15151515151515152
7,COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2.Cl,CHEMBL2448118,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339930>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1ddb60>,0.15151515151515152
8,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,CHEMBL94,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c3399a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1ddaf0>,0.05970149253731343
9,Cc1nc2cccc(F)c2c(N)c1CSCc1cccc(C(=O)C(F)(F)F)c1,CHEMBL108696,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339a10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1dda80>,0.1791044776119403
10,Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,CHEMBL2393106,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339a80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1dda10>,0.2564102564102564
11,Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,CHEMBL2393107,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339af0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1dd9a0>,0.25316455696202533
12,Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,CHEMBL2393109,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339b60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1dd930>,0.25316455696202533
13,Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,CHEMBL2393110,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339bd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1dd8c0>,0.25316455696202533
14,Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,CHEMBL2393111,Active,<rdkit.Chem.rdchem.Mol object at 0x7bc89c339c40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7bc89e1dd850>,0.25316455696202533
